NAME : a280
1 288 149
88 40 63
81 32 49
82 32 57
83 32 65
84 32 73
87 40 73
89 40 51
109 48 51
111 56 65
112 48 63
113 48 73
114 56 73
115 56 81
116 48 83
86 40 83
85 32 81
65 32 89
64 32 97
63 40 99
62 48 99
118 56 97
61 56 105
60 56 113
43 56 121
42 56 129
41 56 137
40 56 145
39 56 153
35 64 157
36 64 165
37 56 169
38 56 161
91 44 35
80 32 41
90 44 43
92 44 27
93 32 25
102 56 25
103 56 33
104 56 41
105 64 41
106 72 41
107 72 49
139 172 85
138 172 93
140 180 85
148 172 77
149 164 81
200 180 45
144 180 53
145 172 53
198 172 37
199 172 45
201 180 37
202 188 41
207 228 69
206 220 73
208 228 77
210 236 69
212 228 61
211 236 61
214 236 53
213 228 53
216 228 45
215 236 45
218 236 37
217 228 37
220 228 29
219 236 29
222 236 21
221 228 21
231 276 77
228 260 61
229 260 69
230 260 77
232 276 69
233 276 61
236 284 61
237 284 69
238 284 77
239 284 85
240 284 93
245 276 93
246 276 85
247 268 97
250 260 93
251 260 85
19 156 145
17 172 145
18 164 145
20 148 145
21 140 145
131 148 137
132 156 137
133 164 137
44 40 121
45 40 129
56 32 129
57 32 121
58 32 113
59 40 113
154 124 125
121 104 113
122 104 121
123 104 129
124 104 137
126 116 145
127 124 145
128 132 145
129 132 137
130 140 137
153 124 109
155 124 117
47 40 145
46 40 137
48 40 153
53 32 153
54 32 145
55 32 137
176 124 69
151 124 85
158 104 81
159 104 73
160 104 65
175 104 57
177 124 77
178 132 81
179 140 65
180 132 61
181 124 61
182 124 53
183 124 45
184 124 37
185 124 29
187 124 21
186 132 21
135 172 117
134 172 125
136 172 109
268 180 109
269 180 117
270 180 125
9 228 161
6 246 157
7 236 169
8 228 169
10 220 169
11 212 169
274 220 145
275 228 145
276 236 145
13 196 169
12 204 169
14 188 169
15 196 161
67 16 97
66 24 89
68 16 109
69 8 109
70 8 97
71 8 89
72 8 81
73 8 73
74 8 65
75 8 57
76 16 57
97 24 17
94 24 25
96 16 17
98 32 17
254 228 93
252 236 85
253 228 85
255 236 93
256 236 101
257 228 101
258 228 109
259 228 117
260 228 125
261 220 125
142 180 69
141 180 77
143 180 61
147 172 69
146 172 61
171 80 25
101 56 17
163 104 33
164 104 25
165 104 17
166 92 9
167 80 9
168 72 9
169 64 21
170 72 25
172 80 25
173 80 41
174 88 49
29 116 161
28 124 169
30 104 153
31 104 161
32 104 169
49 40 161
50 40 169
51 32 169
52 32 161
278 252 125
2 288 129
3 270 133
4 256 141
5 256 157
241 284 101
242 288 109
243 280 109
244 276 101
248 260 109
249 252 101
262 212 117
273 212 145
277 246 141
279 260 129
280 280 133
203 196 49
137 172 101
150 148 85
191 148 9
192 162 9
193 156 25
194 172 21
195 180 21
196 180 29
197 172 29
204 204 57
205 212 65
209 236 77
223 252 21
224 260 29
225 260 37
226 260 45
227 260 53
263 204 109
264 196 101
265 188 93
266 180 93
267 180 101
24 172 169
16 188 145
22 148 169
23 164 169
25 156 169
26 140 169
27 132 169
271 196 145
272 204 145
108 56 49
77 8 49
78 8 41
79 24 45
95 16 25
99 44 11
100 56 9
110 56 57
117 56 89
119 104 97
120 104 105
152 124 93
156 124 101
157 104 89
161 104 49
162 104 41
188 120 9
189 128 9
190 136 9
33 90 165
34 80 157
125 104 145
234 276 53
235 284 53
1 288 149
