NAME : att48
1 6734 1453
27 7555 4819
6 7608 4458
17 7611 5184
19 7732 4723
30 7352 4506
37 7762 4595
43 7280 4899
46 6807 2993
12 5989 2873
15 6347 2683
18 7462 3590
31 7545 2801
33 6426 3173
36 7248 3779
38 7392 2244
44 7509 3239
7 7573 3716
28 7541 3981
11 5468 2606
3 5530 1424
9 6898 1885
13 4706 2674
14 4612 2035
20 5900 3561
21 4483 3369
22 6101 1110
23 5199 2182
25 4307 2322
34 4608 1198
40 6271 2135
47 5185 3258
42 1916 1569
2 2233 10
4 401 841
5 3082 1644
10 1112 2049
24 1633 2809
26 675 1006
29 3177 756
48 3023 1942
39 3484 2829
32 3245 3305
8 7265 1268
16 6107 669
41 4985 140
35 23 2216
45 10 2676
1 6734 1453
